,subject_id,trial_index,palette,concept,concept_cat,color_index,sem_contrast,rating,log_spec,accuracy
169,pv8mjorbc3,42,10,speed,features,62,0.967,0.85,-2.6734566059538247,1
170,pv8mjorbc3,42,10,working,activities,45,0.664,0.342,-4.129446133086593,0
171,pv8mjorbc3,42,10,leisure,activities,9,0.794,0.652,-3.6505726374388012,0
172,pv8mjorbc3,43,13,grape,fruits,9,0.868,0.7,-1.1579603179296847,0
173,pv8mjorbc3,43,13,banana,fruits,68,1.0,0.875,9.999950000398841e-06,1
174,pv8mjorbc3,43,13,eggplant,vegetables,14,0.869,0.875,-0.21717011946923673,0
175,pv8mjorbc3,43,13,celery,vegetables,39,0.999,0.785,-0.16826240595420835,1
176,pv8mjorbc3,44,15,safety,features,67,0.872,0.75,-2.629543317344972,1
177,pv8mjorbc3,44,15,comfort,features,45,0.87,0.672,-11.512925464970229,1
178,pv8mjorbc3,44,15,sleeping,activities,24,0.977,0.8,-1.9968185602622677,1
179,pv8mjorbc3,44,15,driving,activities,62,0.949,0.7,-2.7531029318499223,1
180,pv8mjorbc3,45,14,efficiency,features,36,0.954,0.742,-3.436635922643991,1
181,pv8mjorbc3,45,14,speed,features,62,0.987,0.85,-2.6734566059538247,1
182,pv8mjorbc3,45,14,corn,vegetables,68,0.964,0.875,-0.3982917379023851,1
183,pv8mjorbc3,45,14,carrot,vegetables,59,0.945,0.652,-0.015028558610303744,1
184,pv8mjorbc3,46,12,peach,fruits,47,0.959,0.875,-0.10535879219645802,1
185,pv8mjorbc3,46,12,cherry,fruits,62,1.0,0.875,-0.04344806670581117,1
186,pv8mjorbc3,46,12,working,activities,26,0.962,0.625,-4.129446133086593,1
187,pv8mjorbc3,46,12,leisure,activities,35,0.932,0.742,-3.6505726374388012,1
188,pv8mjorbc3,47,9,grape,fruits,17,0.996,0.85,-1.1579603179296847,1
189,pv8mjorbc3,47,9,banana,fruits,58,0.996,0.75,9.999950000398841e-06,1
190,pv8mjorbc3,47,9,sleeping,activities,24,0.992,0.8,-1.9968185602622677,1
191,pv8mjorbc3,47,9,driving,activities,62,0.994,0.7,-2.7531029318499223,1
192,pv8mjorbc3,48,11,celery,vegetables,54,0.834,0.785,-0.16826240595420835,1
193,pv8mjorbc3,48,11,safety,features,68,0.798,0.7,-2.629543317344972,1
194,pv8mjorbc3,48,11,comfort,features,45,0.819,0.672,-11.512925464970229,1
195,pv8mjorbc3,48,11,eggplant,vegetables,7,0.979,0.85,-0.21717011946923673,1
196,pv8mjorbc3,49,8,carrot,vegetables,61,0.995,0.875,-0.015028558610303744,1
197,pv8mjorbc3,49,8,peach,fruits,47,0.995,0.875,-0.10535879219645802,1
198,pv8mjorbc3,49,8,cherry,fruits,49,1.0,0.875,-0.04344806670581117,1
199,pv8mjorbc3,49,8,corn,vegetables,68,1.0,0.875,-0.3982917379023851,1
200,pv8mjorbc3,50,15,driving,activities,62,0.949,0.7,-2.7531029318499223,1
201,pv8mjorbc3,50,15,safety,features,67,0.872,0.75,-2.629543317344972,1
202,pv8mjorbc3,50,15,comfort,features,45,0.87,0.672,-11.512925464970229,1
203,pv8mjorbc3,50,15,sleeping,activities,24,0.977,0.8,-1.9968185602622677,1
204,pv8mjorbc3,51,10,leisure,activities,9,0.794,0.652,-3.6505726374388012,0
205,pv8mjorbc3,51,10,efficiency,features,11,0.712,0.742,-3.436635922643991,0
206,pv8mjorbc3,51,10,speed,features,62,0.967,0.85,-2.6734566059538247,1
207,pv8mjorbc3,51,10,working,activities,45,0.664,0.342,-4.129446133086593,0
208,pv8mjorbc3,52,9,driving,activities,62,0.994,0.7,-2.7531029318499223,1
209,pv8mjorbc3,52,9,grape,fruits,17,0.996,0.85,-1.1579603179296847,1
210,pv8mjorbc3,52,9,banana,fruits,58,0.996,0.75,9.999950000398841e-06,1
211,pv8mjorbc3,52,9,sleeping,activities,24,0.992,0.8,-1.9968185602622677,1
212,pv8mjorbc3,53,12,leisure,activities,35,0.932,0.742,-3.6505726374388012,1
213,pv8mjorbc3,53,12,peach,fruits,47,0.959,0.875,-0.10535879219645802,1
214,pv8mjorbc3,53,12,cherry,fruits,62,1.0,0.875,-0.04344806670581117,1
215,pv8mjorbc3,53,12,working,activities,26,0.962,0.625,-4.129446133086593,1
216,pv8mjorbc3,54,14,carrot,vegetables,59,0.945,0.652,-0.015028558610303744,1
217,pv8mjorbc3,54,14,efficiency,features,36,0.954,0.742,-3.436635922643991,1
218,pv8mjorbc3,54,14,speed,features,62,0.987,0.85,-2.6734566059538247,1
219,pv8mjorbc3,54,14,corn,vegetables,68,0.964,0.875,-0.3982917379023851,1
220,pv8mjorbc3,55,13,celery,vegetables,39,0.999,0.785,-0.16826240595420835,1
221,pv8mjorbc3,55,13,grape,fruits,9,0.868,0.7,-1.1579603179296847,0
222,pv8mjorbc3,55,13,banana,fruits,68,1.0,0.875,9.999950000398841e-06,1
223,pv8mjorbc3,55,13,eggplant,vegetables,14,0.869,0.875,-0.21717011946923673,0
224,pv8mjorbc3,56,11,comfort,features,45,0.819,0.672,-11.512925464970229,1
225,pv8mjorbc3,56,11,eggplant,vegetables,7,0.979,0.85,-0.21717011946923673,1
